"xseconds,"rate"
"5:","543"
"10:","490"
"15:","510"
"20:","516"
"25:","514"
"30:","512"
"35:","512"
"40:","515"
"45:","522"
"50:","511"
"55:","513"
"60:","523"
"65:","516"
"70:","503"
"75:","493"
"80:","492"
"85:","510"
"90:","515"
"95:","512"
"100:","493"
"105:","515"
"110:","516"
"115:","512"
"120:","523"
"125:","521"
"130:","507"
"135:","519"
"140:","512"
"145:","520"
"150:","518"
"155:","517"
"160:","514"
"165:","520"
"170:","517"
"175:","521"
"180:","515"
"185:","524"
"190:","507"
"195:","516"
"200:","514"
"205:","527"
"210:","522"
"215:","516"
"220:","512"
"225:","517"
"230:","525"
"235:","708"
"240:","757"
