"xseconds,"rate"
"5:","381"
"10:","319"
"15:","308"
"20:","307"
"25:","312"
"30:","274"
"35:","297"
"40:","309"
"45:","305"
"50:","309"
"55:","274"
"60:","310"
"65:","304"
"70:","303"
"75:","303"
"80:","303"
"85:","307"
"90:","304"
"95:","282"
"100:","302"
"105:","305"
"110:","301"
"115:","306"
"120:","312"
"125:","304"
"130:","311"
"135:","305"
"140:","305"
"145:","311"
"150:","307"
"155:","313"
"160:","298"
"165:","289"
"170:","311"
"175:","254"
"180:","259"
"185:","309"
"190:","306"
"195:","305"
"200:","312"
"205:","306"
"210:","306"
"215:","309"
"220:","309"
"225:","325"
"230:","385"
"235:","506"
"240:","697"
