"xseconds,"rate"
"5:","223"
"10:","219"
"15:","222"
"20:","226"
"25:","209"
"30:","219"
"35:","220"
"40:","215"
"45:","208"
"50:","220"
"55:","215"
"60:","223"
"65:","225"
"70:","221"
"75:","223"
"80:","217"
"85:","219"
"90:","220"
"95:","218"
"100:","220"
"105:","220"
"110:","223"
"115:","216"
"120:","217"
"125:","218"
"130:","222"
"135:","220"
"140:","218"
"145:","215"
"150:","216"
"155:","221"
"160:","216"
"165:","210"
"170:","224"
"175:","209"
"180:","216"
"185:","212"
"190:","222"
"195:","221"
"200:","197"
"205:","222"
"210:","222"
"215:","222"
"220:","221"
"225:","522"
"230:","644"
"235:","711"
"240:","703"
