"xseconds,"rate"
"5:","243"
"10:","183"
"15:","181"
"20:","180"
"25:","184"
"30:","182"
"35:","180"
"40:","178"
"45:","178"
"50:","180"
"55:","181"
"60:","183"
"65:","176"
"70:","181"
"75:","183"
"80:","181"
"85:","182"
"90:","179"
"95:","182"
"100:","183"
"105:","179"
"110:","167"
"115:","182"
"120:","180"
"125:","182"
"130:","181"
"135:","182"
"140:","181"
"145:","181"
"150:","180"
"155:","183"
"160:","184"
"165:","179"
"170:","180"
"175:","184"
"180:","178"
"185:","182"
"190:","187"
"195:","180"
"200:","182"
"205:","180"
"210:","185"
"215:","184"
"220:","187"
"225:","181"
"230:","185"
"235:","186"
"240:","185"
"245:","181"
"250:","184"
"255:","183"
"260:","186"
"265:","183"
"270:","185"
"275:","182"
"280:","182"
"285:","174"
"290:","181"
"295:","185"
"300:","178"
"305:","186"
"310:","183"
"315:","181"
"320:","182"
"325:","179"
"330:","180"
"335:","180"
"340:","182"
"345:","173"
"350:","177"
"355:","184"
"360:","185"
"365:","178"
"370:","183"
"375:","177"
"380:","182"
"385:","178"
"390:","179"
"395:","179"
"400:","180"
"405:","184"
"410:","182"
"415:","180"
"420:","187"
"425:","186"
"430:","184"
"435:","178"
"440:","183"
"445:","186"
"450:","181"
"455:","182"
"460:","186"
"465:","172"
"470:","179"
"475:","180"
"480:","180"
