"xseconds,"rate"
"5:","102"
"10:","100"
"15:","102"
"20:","84"
"25:","68"
"30:","72"
"35:","61"
"40:","67"
"45:","62"
"50:","69"
"55:","71"
"60:","73"
"65:","71"
"70:","69"
"75:","96"
"80:","180"
"85:","185"
"90:","172"
"95:","164"
"100:","163"
"105:","166"
"110:","168"
"115:","166"
"120:","160"
"125:","168"
"130:","165"
"135:","161"
"140:","163"
"145:","163"
"150:","165"
"155:","167"
"160:","159"
"165:","167"
"170:","163"
"175:","170"
"180:","156"
"185:","168"
"190:","162"
"195:","167"
"200:","166"
"205:","169"
"210:","168"
"215:","168"
"220:","167"
"225:","160"
"230:","170"
"235:","161"
"240:","168"
"245:","168"
"250:","169"
"255:","167"
"260:","170"
"265:","169"
"270:","165"
"275:","166"
"280:","164"
"285:","165"
"290:","164"
"295:","167"
"300:","160"
"305:","166"
"310:","163"
"315:","167"
"320:","171"
"325:","162"
"330:","168"
"335:","167"
"340:","164"
"345:","170"
"350:","166"
"355:","166"
"360:","163"
"365:","168"
"370:","172"
"375:","160"
"380:","169"
"385:","168"
"390:","166"
"395:","171"
"400:","166"
"405:","170"
"410:","166"
"415:","170"
"420:","171"
"425:","171"
"430:","168"
"435:","170"
"440:","170"
"445:","170"
"450:","166"
"455:","169"
"460:","170"
"465:","161"
"470:","164"
"475:","170"
"480:","170"
