"xseconds,"rate"
"5:","174"
"10:","150"
"15:","135"
"20:","145"
"25:","135"
"30:","134"
"35:","142"
"40:","153"
"45:","148"
"50:","153"
"55:","143"
"60:","111"
"65:","113"
"70:","219"
"75:","249"
"80:","251"
"85:","251"
"90:","251"
"95:","261"
"100:","247"
"105:","237"
"110:","245"
"115:","240"
"120:","236"
"125:","252"
"130:","249"
"135:","250"
"140:","248"
"145:","241"
"150:","246"
"155:","244"
"160:","256"
"165:","265"
"170:","251"
"175:","247"
"180:","252"
"185:","243"
"190:","264"
"195:","252"
"200:","257"
"205:","239"
"210:","263"
"215:","254"
"220:","255"
"225:","250"
"230:","254"
"235:","253"
"240:","251"
"245:","259"
"250:","251"
"255:","257"
"260:","254"
"265:","248"
"270:","257"
"275:","266"
"280:","253"
"285:","247"
"290:","255"
"295:","246"
"300:","263"
"305:","234"
"310:","253"
"315:","258"
"320:","246"
"325:","252"
"330:","246"
"335:","258"
"340:","251"
"345:","247"
"350:","245"
"355:","261"
"360:","242"
"365:","255"
"370:","257"
"375:","256"
"380:","252"
"385:","246"
"390:","269"
"395:","247"
"400:","265"
"405:","256"
"410:","255"
"415:","258"
"420:","263"
"425:","254"
"430:","258"
"435:","258"
"440:","250"
"445:","244"
"450:","238"
"455:","262"
"460:","253"
"465:","286"
"470:","313"
"475:","312"
"480:","310"
