"xseconds,"rate"
"5:","102"
"10:","112"
"15:","111"
"20:","106"
"25:","112"
"30:","110"
"35:","107"
"40:","111"
"45:","109"
"50:","104"
"55:","95"
"60:","109"
"65:","100"
"70:","96"
"75:","111"
"80:","109"
"85:","107"
"90:","107"
"95:","102"
"100:","100"
"105:","99"
"110:","104"
"115:","113"
"120:","96"
"125:","107"
"130:","104"
"135:","111"
"140:","113"
"145:","109"
"150:","112"
"155:","111"
"160:","111"
"165:","105"
"170:","106"
"175:","112"
"180:","108"
"185:","109"
"190:","112"
"195:","111"
"200:","102"
"205:","110"
"210:","110"
"215:","111"
"220:","109"
"225:","112"
"230:","112"
"235:","106"
"240:","112"
"245:","109"
"250:","105"
"255:","101"
"260:","109"
"265:","108"
"270:","111"
"275:","112"
"280:","103"
"285:","105"
"290:","111"
"295:","106"
"300:","105"
"305:","104"
"310:","107"
"315:","111"
"320:","106"
"325:","102"
"330:","111"
"335:","107"
"340:","112"
"345:","106"
"350:","112"
"355:","107"
"360:","112"
"365:","107"
"370:","112"
"375:","112"
"380:","112"
"385:","109"
"390:","106"
"395:","102"
"400:","110"
"405:","108"
"410:","106"
"415:","111"
"420:","111"
"425:","103"
"430:","103"
"435:","107"
"440:","113"
"445:","109"
"450:","112"
"455:","112"
"460:","112"
"465:","108"
"470:","108"
"475:","130"
"480:","200"
