"xseconds,"rate"
"5:","223"
"10:","91"
"15:","74"
"20:","73"
"25:","75"
"30:","75"
"35:","75"
"40:","75"
"45:","73"
"50:","75"
"55:","201"
"60:","205"
"65:","202"
"70:","202"
"75:","208"
"80:","199"
"85:","174"
"90:","166"
"95:","171"
"100:","169"
"105:","172"
"110:","167"
"115:","170"
"120:","170"
"125:","168"
"130:","167"
"135:","169"
"140:","168"
"145:","171"
"150:","169"
"155:","170"
"160:","171"
"165:","172"
"170:","169"
"175:","170"
"180:","171"
"185:","172"
"190:","171"
"195:","172"
"200:","166"
"205:","167"
"210:","172"
"215:","167"
"220:","167"
"225:","170"
"230:","171"
"235:","172"
"240:","171"
