"xseconds,"rate"
"5:","139"
"10:","140"
"15:","142"
"20:","140"
"25:","141"
"30:","140"
"35:","141"
"40:","139"
"45:","139"
"50:","133"
"55:","135"
"60:","141"
"65:","137"
"70:","140"
"75:","141"
"80:","140"
"85:","142"
"90:","138"
"95:","140"
"100:","139"
"105:","140"
"110:","138"
"115:","141"
"120:","140"
"125:","136"
"130:","141"
"135:","138"
"140:","141"
"145:","139"
"150:","139"
"155:","135"
"160:","135"
"165:","141"
"170:","136"
"175:","140"
"180:","141"
"185:","141"
"190:","140"
"195:","139"
"200:","138"
"205:","141"
"210:","139"
"215:","139"
"220:","140"
"225:","141"
"230:","136"
"235:","149"
"240:","445"
