"xseconds,"rate"
"5:","148"
"10:","139"
"15:","143"
"20:","140"
"25:","140"
"30:","136"
"35:","141"
"40:","141"
"45:","136"
"50:","139"
"55:","139"
"60:","142"
"65:","141"
"70:","139"
"75:","140"
"80:","140"
"85:","133"
"90:","135"
"95:","140"
"100:","142"
"105:","139"
"110:","139"
"115:","139"
"120:","142"
"125:","141"
"130:","138"
"135:","138"
"140:","140"
"145:","143"
"150:","138"
"155:","140"
"160:","139"
"165:","140"
"170:","142"
"175:","140"
"180:","140"
"185:","141"
"190:","141"
"195:","139"
"200:","138"
"205:","141"
"210:","141"
"215:","140"
"220:","138"
"225:","154"
"230:","174"
"235:","175"
"240:","176"
