"xseconds,"rate"
"5:","284"
"10:","243"
"15:","199"
"20:","172"
"25:","167"
"30:","174"
"35:","174"
"40:","174"
"45:","174"
"50:","174"
"55:","160"
"60:","171"
"65:","175"
"70:","175"
"75:","176"
"80:","175"
"85:","175"
"90:","176"
"95:","174"
"100:","176"
"105:","168"
"110:","166"
"115:","165"
"120:","167"
"125:","166"
"130:","165"
"135:","166"
"140:","158"
"145:","165"
"150:","164"
"155:","166"
"160:","166"
"165:","165"
"170:","164"
"175:","164"
"180:","166"
"185:","166"
"190:","166"
"195:","165"
"200:","165"
"205:","165"
"210:","162"
"215:","165"
"220:","165"
"225:","160"
"230:","170"
"235:","194"
"240:","246"
