"xseconds,"rate"
"5:","412"
"10:","335"
"15:","339"
"20:","342"
"25:","343"
"30:","340"
"35:","343"
"40:","342"
"45:","340"
"50:","343"
"55:","338"
"60:","350"
"65:","351"
"70:","360"
"75:","354"
"80:","366"
"85:","360"
"90:","363"
"95:","367"
"100:","360"
"105:","364"
"110:","364"
"115:","364"
"120:","361"
"125:","360"
"130:","365"
"135:","359"
"140:","363"
"145:","351"
"150:","335"
"155:","296"
"160:","293"
"165:","303"
"170:","296"
"175:","296"
"180:","297"
"185:","276"
"190:","284"
"195:","287"
"200:","284"
"205:","283"
"210:","286"
"215:","287"
"220:","285"
"225:","280"
"230:","282"
"235:","282"
"240:","293"
