"xseconds,"rate"
"5:","354"
"10:","341"
"15:","328"
"20:","338"
"25:","325"
"30:","337"
"35:","327"
"40:","336"
"45:","354"
"50:","355"
"55:","304"
"60:","256"
"65:","251"
"70:","247"
"75:","255"
"80:","254"
"85:","256"
"90:","256"
"95:","255"
"100:","252"
"105:","255"
"110:","252"
"115:","249"
"120:","254"
"125:","253"
"130:","252"
"135:","254"
"140:","247"
"145:","284"
"150:","314"
"155:","312"
"160:","320"
"165:","312"
"170:","311"
"175:","307"
"180:","288"
"185:","300"
"190:","303"
"195:","293"
"200:","296"
"205:","298"
"210:","295"
"215:","295"
"220:","303"
"225:","295"
"230:","298"
"235:","323"
"240:","411"
