"xseconds,"rate"
"5:","433"
"10:","346"
"15:","342"
"20:","345"
"25:","347"
"30:","344"
"35:","338"
"40:","320"
"45:","341"
"50:","334"
"55:","325"
"60:","345"
"65:","356"
"70:","360"
"75:","357"
"80:","372"
"85:","375"
"90:","370"
"95:","379"
"100:","373"
"105:","378"
"110:","385"
"115:","381"
"120:","379"
"125:","376"
"130:","382"
"135:","378"
"140:","375"
"145:","393"
"150:","394"
"155:","334"
"160:","331"
"165:","344"
"170:","341"
"175:","333"
"180:","341"
"185:","332"
"190:","334"
"195:","336"
"200:","332"
"205:","335"
"210:","331"
"215:","340"
"220:","327"
"225:","341"
"230:","340"
"235:","337"
"240:","341"
