"xseconds,"rate"
"5:","371"
"10:","331"
"15:","355"
"20:","357"
"25:","359"
"30:","357"
"35:","353"
"40:","357"
"45:","355"
"50:","354"
"55:","342"
"60:","265"
"65:","265"
"70:","264"
"75:","272"
"80:","274"
"85:","272"
"90:","273"
"95:","260"
"100:","262"
"105:","265"
"110:","266"
"115:","264"
"120:","264"
"125:","266"
"130:","259"
"135:","261"
"140:","277"
"145:","290"
"150:","365"
"155:","349"
"160:","362"
"165:","358"
"170:","354"
"175:","347"
"180:","352"
"185:","352"
"190:","351"
"195:","353"
"200:","357"
"205:","358"
"210:","352"
"215:","357"
"220:","366"
"225:","363"
"230:","365"
"235:","383"
"240:","465"
