"xseconds,"rate"
"5:","103"
"10:","103"
"15:","102"
"20:","95"
"25:","65"
"30:","70"
"35:","66"
"40:","58"
"45:","65"
"50:","64"
"55:","63"
"60:","71"
"65:","70"
"70:","70"
"75:","87"
"80:","182"
"85:","168"
"90:","148"
"95:","158"
"100:","155"
"105:","147"
"110:","151"
"115:","151"
"120:","154"
"125:","149"
"130:","158"
"135:","154"
"140:","157"
"145:","154"
"150:","152"
"155:","154"
"160:","152"
"165:","153"
"170:","155"
"175:","154"
"180:","154"
"185:","152"
"190:","155"
"195:","154"
"200:","158"
"205:","156"
"210:","157"
"215:","155"
"220:","153"
"225:","153"
"230:","154"
"235:","155"
"240:","151"
