"xseconds,"rate"
"5:","129"
"10:","145"
"15:","141"
"20:","115"
"25:","137"
"30:","130"
"35:","127"
"40:","146"
"45:","146"
"50:","129"
"55:","133"
"60:","100"
"65:","104"
"70:","208"
"75:","204"
"80:","205"
"85:","193"
"90:","212"
"95:","185"
"100:","191"
"105:","196"
"110:","196"
"115:","198"
"120:","194"
"125:","208"
"130:","204"
"135:","208"
"140:","187"
"145:","209"
"150:","216"
"155:","217"
"160:","195"
"165:","197"
"170:","205"
"175:","202"
"180:","204"
"185:","200"
"190:","205"
"195:","203"
"200:","196"
"205:","198"
"210:","197"
"215:","199"
"220:","201"
"225:","262"
"230:","269"
"235:","270"
"240:","281"
