"xseconds,"rate"
"5:","123"
"10:","101"
"15:","106"
"20:","103"
"25:","100"
"30:","105"
"35:","100"
"40:","104"
"45:","107"
"50:","98"
"55:","107"
"60:","96"
"65:","97"
"70:","99"
"75:","92"
"80:","101"
"85:","107"
"90:","107"
"95:","108"
"100:","107"
"105:","106"
"110:","107"
"115:","106"
"120:","101"
"125:","95"
"130:","108"
"135:","108"
"140:","109"
"145:","108"
"150:","108"
"155:","108"
"160:","107"
"165:","106"
"170:","108"
"175:","108"
"180:","102"
"185:","109"
"190:","109"
"195:","108"
"200:","108"
"205:","108"
"210:","109"
"215:","109"
"220:","107"
"225:","100"
"230:","108"
"235:","118"
"240:","174"
