"xseconds,"rate"
"5:","296"
"10:","267"
"15:","173"
"20:","166"
"25:","167"
"30:","171"
"35:","172"
"40:","172"
"45:","170"
"50:","163"
"55:","171"
"60:","171"
"65:","172"
"70:","170"
"75:","172"
"80:","170"
"85:","174"
"90:","174"
"95:","172"
"100:","169"
"105:","168"
"110:","174"
"115:","170"
"120:","173"
"125:","172"
"130:","165"
"135:","170"
"140:","173"
"145:","175"
"150:","174"
"155:","174"
"160:","170"
"165:","172"
"170:","173"
"175:","169"
"180:","173"
"185:","175"
"190:","169"
"195:","175"
"200:","173"
"205:","173"
"210:","176"
"215:","172"
"220:","167"
"225:","172"
"230:","167"
"235:","171"
"240:","175"
