"xseconds,"rate"
"5:","173"
"10:","176"
"15:","291"
"20:","292"
"25:","300"
"30:","282"
"35:","303"
"40:","299"
"45:","290"
"50:","310"
"55:","292"
"60:","294"
"65:","295"
"70:","292"
"75:","289"
"80:","285"
"85:","297"
"90:","291"
"95:","298"
"100:","292"
"105:","296"
"110:","301"
"115:","292"
"120:","298"
"125:","283"
"130:","297"
"135:","284"
"140:","291"
"145:","305"
"150:","291"
"155:","291"
"160:","282"
"165:","297"
"170:","285"
"175:","289"
"180:","299"
"185:","292"
"190:","308"
"195:","285"
"200:","287"
"205:","298"
"210:","290"
"215:","298"
"220:","288"
"225:","302"
"230:","287"
"235:","360"
"240:","397"
