"xseconds,"rate"
"5:","176"
"10:","174"
"15:","174"
"20:","170"
"25:","172"
"30:","173"
"35:","173"
"40:","215"
"45:","261"
"50:","259"
"55:","260"
"60:","259"
"65:","259"
"70:","266"
"75:","254"
"80:","261"
"85:","264"
"90:","263"
"95:","256"
"100:","257"
"105:","257"
"110:","259"
"115:","263"
"120:","256"
"125:","257"
"130:","257"
"135:","244"
"140:","257"
"145:","262"
"150:","257"
"155:","256"
"160:","262"
"165:","255"
"170:","254"
"175:","253"
"180:","259"
"185:","264"
"190:","253"
"195:","256"
"200:","253"
"205:","265"
"210:","256"
"215:","259"
"220:","257"
"225:","265"
"230:","272"
"235:","324"
"240:","399"
