"xseconds,"rate"
"5:","262"
"10:","175"
"15:","176"
"20:","177"
"25:","179"
"30:","178"
"35:","177"
"40:","187"
"45:","209"
"50:","210"
"55:","214"
"60:","210"
"65:","217"
"70:","208"
"75:","209"
"80:","211"
"85:","210"
"90:","211"
"95:","215"
"100:","223"
"105:","212"
"110:","211"
"115:","215"
"120:","215"
"125:","214"
"130:","210"
"135:","208"
"140:","211"
"145:","216"
"150:","201"
"155:","206"
"160:","213"
"165:","213"
"170:","208"
"175:","193"
"180:","209"
"185:","213"
"190:","211"
"195:","211"
"200:","213"
"205:","212"
"210:","212"
"215:","211"
"220:","215"
"225:","206"
"230:","213"
"235:","210"
"240:","252"
