"xseconds,"rate"
"5:","171"
"10:","176"
"15:","176"
"20:","175"
"25:","176"
"30:","176"
"35:","176"
"40:","304"
"45:","340"
"50:","349"
"55:","356"
"60:","340"
"65:","343"
"70:","338"
"75:","334"
"80:","333"
"85:","350"
"90:","350"
"95:","347"
"100:","348"
"105:","342"
"110:","351"
"115:","328"
"120:","333"
"125:","343"
"130:","342"
"135:","338"
"140:","348"
"145:","349"
"150:","345"
"155:","337"
"160:","347"
"165:","352"
"170:","345"
"175:","353"
"180:","340"
"185:","345"
"190:","338"
"195:","346"
"200:","338"
"205:","338"
"210:","338"
"215:","338"
"220:","328"
"225:","347"
"230:","345"
"235:","365"
"240:","393"
