"xseconds,"rate"
"5:","262"
"10:","233"
"15:","233"
"20:","233"
"25:","227"
"30:","233"
"35:","218"
"40:","233"
"45:","199"
"50:","175"
"55:","228"
"60:","272"
"65:","265"
"70:","254"
"75:","271"
"80:","260"
"85:","270"
"90:","267"
"95:","259"
"100:","274"
"105:","265"
"110:","259"
"115:","265"
"120:","257"
"125:","256"
"130:","255"
"135:","259"
"140:","260"
"145:","263"
"150:","269"
"155:","259"
"160:","260"
"165:","258"
"170:","270"
"175:","264"
"180:","272"
"185:","252"
"190:","263"
"195:","265"
"200:","257"
"205:","267"
"210:","252"
"215:","270"
"220:","274"
"225:","267"
"230:","266"
"235:","266"
"240:","274"
