"xseconds,"rate"
"5:","164"
"10:","157"
"15:","153"
"20:","155"
"25:","157"
"30:","155"
"35:","158"
"40:","159"
"45:","159"
"50:","158"
"55:","157"
"60:","157"
"65:","160"
"70:","158"
"75:","158"
"80:","158"
"85:","147"
"90:","156"
"95:","146"
"100:","156"
"105:","157"
"110:","156"
"115:","158"
"120:","157"
"125:","157"
"130:","154"
"135:","147"
"140:","156"
"145:","157"
"150:","156"
"155:","156"
"160:","156"
"165:","157"
"170:","156"
"175:","156"
"180:","157"
"185:","151"
"190:","156"
"195:","146"
"200:","151"
"205:","156"
"210:","154"
"215:","150"
"220:","148"
"225:","156"
"230:","162"
"235:","239"
"240:","327"
