"xseconds,"rate"
"5:","153"
"10:","157"
"15:","153"
"20:","155"
"25:","157"
"30:","155"
"35:","159"
"40:","159"
"45:","159"
"50:","158"
"55:","157"
"60:","157"
"65:","160"
"70:","158"
"75:","158"
"80:","157"
"85:","148"
"90:","156"
"95:","145"
"100:","157"
"105:","157"
"110:","156"
"115:","158"
"120:","157"
"125:","158"
"130:","152"
"135:","149"
"140:","156"
"145:","157"
"150:","156"
"155:","155"
"160:","156"
"165:","156"
"170:","155"
"175:","156"
"180:","157"
"185:","150"
"190:","156"
"195:","145"
"200:","152"
"205:","156"
"210:","154"
"215:","148"
"220:","150"
"225:","156"
"230:","165"
"235:","243"
"240:","362"
