"xseconds,"rate"
"5:","318"
"10:","242"
"15:","162"
"20:","157"
"25:","153"
"30:","158"
"35:","155"
"40:","155"
"45:","158"
"50:","158"
"55:","158"
"60:","158"
"65:","156"
"70:","158"
"75:","159"
"80:","159"
"85:","156"
"90:","159"
"95:","148"
"100:","157"
"105:","145"
"110:","156"
"115:","157"
"120:","159"
"125:","158"
"130:","157"
"135:","157"
"140:","158"
"145:","145"
"150:","157"
"155:","157"
"160:","156"
"165:","156"
"170:","157"
"175:","157"
"180:","157"
"185:","159"
"190:","159"
"195:","153"
"200:","156"
"205:","148"
"210:","153"
"215:","157"
"220:","154"
"225:","155"
"230:","146"
"235:","156"
"240:","158"
