"xseconds,"rate"
"5:","257"
"10:","249"
"15:","251"
"20:","259"
"25:","254"
"30:","261"
"35:","258"
"40:","251"
"45:","254"
"50:","264"
"55:","263"
"60:","248"
"65:","260"
"70:","257"
"75:","247"
"80:","250"
"85:","262"
"90:","218"
"95:","260"
"100:","263"
"105:","248"
"110:","239"
"115:","256"
"120:","260"
"125:","248"
"130:","261"
"135:","268"
"140:","252"
"145:","255"
"150:","263"
"155:","255"
"160:","261"
"165:","263"
"170:","252"
"175:","261"
"180:","250"
"185:","263"
"190:","254"
"195:","260"
"200:","260"
"205:","257"
"210:","250"
"215:","252"
"220:","312"
"225:","371"
"230:","493"
"235:","666"
"240:","753"
