"xseconds,"rate"
"5:","768"
"10:","677"
"15:","509"
"20:","378"
"25:","297"
"30:","249"
"35:","249"
"40:","254"
"45:","258"
"50:","247"
"55:","250"
"60:","246"
"65:","252"
"70:","250"
"75:","250"
"80:","251"
"85:","256"
"90:","245"
"95:","254"
"100:","227"
"105:","249"
"110:","251"
"115:","222"
"120:","252"
"125:","249"
"130:","249"
"135:","235"
"140:","245"
"145:","252"
"150:","253"
"155:","254"
"160:","249"
"165:","254"
"170:","249"
"175:","248"
"180:","247"
"185:","249"
"190:","258"
"195:","246"
"200:","246"
"205:","252"
"210:","247"
"215:","252"
"220:","257"
"225:","249"
"230:","246"
"235:","249"
"240:","362"
