"xseconds,"rate"
"5:","565"
"10:","528"
"15:","526"
"20:","441"
"25:","441"
"30:","445"
"35:","453"
"40:","409"
"45:","443"
"50:","442"
"55:","434"
"60:","409"
"65:","436"
"70:","438"
"75:","447"
"80:","452"
"85:","447"
"90:","446"
"95:","430"
"100:","438"
"105:","444"
"110:","435"
"115:","442"
"120:","446"
"125:","448"
"130:","433"
"135:","431"
"140:","435"
"145:","450"
"150:","445"
"155:","439"
"160:","429"
"165:","429"
"170:","441"
"175:","432"
"180:","424"
"185:","447"
"190:","414"
"195:","435"
"200:","419"
"205:","449"
"210:","442"
"215:","389"
"220:","447"
"225:","448"
"230:","448"
"235:","445"
"240:","531"
