"xseconds,"rate"
"5:","146"
"10:","150"
"15:","133"
"20:","144"
"25:","135"
"30:","135"
"35:","142"
"40:","153"
"45:","148"
"50:","153"
"55:","141"
"60:","111"
"65:","113"
"70:","224"
"75:","249"
"80:","247"
"85:","253"
"90:","253"
"95:","259"
"100:","247"
"105:","235"
"110:","246"
"115:","238"
"120:","237"
"125:","251"
"130:","250"
"135:","248"
"140:","251"
"145:","239"
"150:","242"
"155:","250"
"160:","255"
"165:","264"
"170:","249"
"175:","248"
"180:","254"
"185:","242"
"190:","262"
"195:","252"
"200:","254"
"205:","243"
"210:","264"
"215:","254"
"220:","255"
"225:","246"
"230:","256"
"235:","253"
"240:","252"
"245:","259"
"250:","249"
"255:","258"
"260:","253"
"265:","249"
"270:","260"
"275:","265"
"280:","254"
"285:","247"
"290:","252"
"295:","248"
"300:","263"
"305:","234"
"310:","253"
"315:","259"
"320:","243"
"325:","252"
"330:","246"
"335:","260"
"340:","251"
"345:","246"
"350:","247"
"355:","259"
"360:","243"
"365:","257"
"370:","253"
"375:","257"
"380:","251"
"385:","250"
"390:","269"
"395:","247"
"400:","263"
"405:","255"
"410:","255"
"415:","259"
"420:","263"
"425:","254"
"430:","258"
"435:","257"
"440:","250"
"445:","245"
"450:","238"
"455:","263"
"460:","252"
"465:","287"
"470:","313"
"475:","313"
"480:","312"
