"xseconds,"rate"
"5:","198"
"10:","265"
"15:","227"
"20:","170"
"25:","175"
"30:","175"
"35:","164"
"40:","175"
"45:","173"
"50:","172"
"55:","174"
"60:","173"
"65:","171"
"70:","165"
"75:","172"
"80:","173"
"85:","176"
"90:","167"
"95:","170"
"100:","171"
"105:","174"
"110:","173"
"115:","172"
"120:","176"
"125:","169"
"130:","170"
"135:","167"
"140:","176"
"145:","175"
"150:","176"
"155:","177"
"160:","174"
"165:","182"
"170:","176"
"175:","173"
"180:","175"
"185:","172"
"190:","169"
"195:","176"
"200:","174"
"205:","170"
"210:","172"
"215:","173"
"220:","173"
"225:","174"
"230:","171"
"235:","167"
"240:","172"
