"xseconds,"rate"
"5:","127"
"10:","90"
"15:","89"
"20:","90"
"25:","90"
"30:","90"
"35:","88"
"40:","89"
"45:","88"
"50:","91"
"55:","88"
"60:","90"
"65:","90"
"70:","90"
"75:","90"
"80:","88"
"85:","89"
"90:","90"
"95:","91"
"100:","91"
"105:","91"
"110:","89"
"115:","91"
"120:","89"
"125:","92"
"130:","91"
"135:","91"
"140:","91"
"145:","88"
"150:","90"
"155:","91"
"160:","92"
"165:","88"
"170:","89"
"175:","90"
"180:","89"
"185:","88"
"190:","84"
"195:","92"
"200:","89"
"205:","89"
"210:","90"
"215:","89"
"220:","91"
"225:","90"
"230:","88"
"235:","89"
"240:","104"
