"xseconds,"rate"
"5:","104"
"10:","89"
"15:","74"
"20:","73"
"25:","75"
"30:","74"
"35:","75"
"40:","75"
"45:","73"
"50:","81"
"55:","204"
"60:","205"
"65:","202"
"70:","201"
"75:","208"
"80:","198"
"85:","172"
"90:","167"
"95:","171"
"100:","169"
"105:","172"
"110:","167"
"115:","171"
"120:","170"
"125:","169"
"130:","167"
"135:","169"
"140:","169"
"145:","171"
"150:","169"
"155:","170"
"160:","172"
"165:","171"
"170:","168"
"175:","171"
"180:","170"
"185:","172"
"190:","171"
"195:","172"
"200:","166"
"205:","167"
"210:","171"
"215:","167"
"220:","168"
"225:","170"
"230:","171"
"235:","172"
"240:","172"
