"xseconds,"rate"
"5:","159"
"10:","151"
"15:","150"
"20:","154"
"25:","153"
"30:","153"
"35:","149"
"40:","153"
"45:","125"
"50:","107"
"55:","108"
"60:","109"
"65:","106"
"70:","109"
"75:","197"
"80:","244"
"85:","252"
"90:","256"
"95:","255"
"100:","253"
"105:","252"
"110:","246"
"115:","256"
"120:","232"
"125:","251"
"130:","256"
"135:","236"
"140:","256"
"145:","249"
"150:","253"
"155:","245"
"160:","253"
"165:","256"
"170:","252"
"175:","253"
"180:","254"
"185:","245"
"190:","253"
"195:","221"
"200:","257"
"205:","254"
"210:","256"
"215:","258"
"220:","254"
"225:","258"
"230:","250"
"235:","271"
"240:","310"
