"xseconds,"rate"
"5:","144"
"10:","140"
"15:","142"
"20:","141"
"25:","140"
"30:","140"
"35:","141"
"40:","139"
"45:","140"
"50:","134"
"55:","134"
"60:","140"
"65:","137"
"70:","139"
"75:","141"
"80:","139"
"85:","142"
"90:","139"
"95:","139"
"100:","140"
"105:","139"
"110:","139"
"115:","140"
"120:","141"
"125:","136"
"130:","141"
"135:","139"
"140:","141"
"145:","139"
"150:","139"
"155:","135"
"160:","135"
"165:","141"
"170:","136"
"175:","139"
"180:","141"
"185:","141"
"190:","140"
"195:","140"
"200:","137"
"205:","141"
"210:","139"
"215:","140"
"220:","139"
"225:","142"
"230:","136"
"235:","144"
"240:","175"
