"xseconds,"rate"
"5:","148"
"10:","143"
"15:","142"
"20:","146"
"25:","139"
"30:","142"
"35:","144"
"40:","144"
"45:","144"
"50:","144"
"55:","145"
"60:","142"
"65:","144"
"70:","143"
"75:","141"
"80:","144"
"85:","140"
"90:","143"
"95:","142"
"100:","144"
"105:","142"
"110:","145"
"115:","144"
"120:","143"
"125:","145"
"130:","145"
"135:","144"
"140:","145"
"145:","141"
"150:","142"
"155:","143"
"160:","144"
"165:","141"
"170:","145"
"175:","144"
"180:","144"
"185:","142"
"190:","145"
"195:","143"
"200:","144"
"205:","142"
"210:","143"
"215:","145"
"220:","144"
"225:","143"
"230:","144"
"235:","148"
"240:","175"
