"xseconds,"rate"
"5:","325"
"10:","185"
"15:","185"
"20:","181"
"25:","185"
"30:","185"
"35:","186"
"40:","185"
"45:","179"
"50:","175"
"55:","176"
"60:","155"
"65:","155"
"70:","156"
"75:","155"
"80:","155"
"85:","151"
"90:","155"
"95:","146"
"100:","126"
"105:","136"
"110:","166"
"115:","170"
"120:","169"
"125:","168"
"130:","169"
"135:","171"
"140:","173"
"145:","169"
"150:","169"
"155:","165"
"160:","166"
"165:","160"
"170:","169"
"175:","169"
"180:","170"
"185:","169"
"190:","168"
"195:","170"
"200:","172"
"205:","170"
"210:","169"
"215:","168"
"220:","164"
"225:","192"
"230:","240"
"235:","311"
"240:","398"
