"xseconds,"rate"
"5:","412"
"10:","247"
"15:","205"
"20:","172"
"25:","167"
"30:","174"
"35:","174"
"40:","174"
"45:","174"
"50:","174"
"55:","160"
"60:","171"
"65:","175"
"70:","175"
"75:","176"
"80:","176"
"85:","175"
"90:","177"
"95:","175"
"100:","176"
"105:","170"
"110:","167"
"115:","164"
"120:","170"
"125:","167"
"130:","166"
"135:","166"
"140:","159"
"145:","167"
"150:","166"
"155:","166"
"160:","167"
"165:","168"
"170:","166"
"175:","164"
"180:","168"
"185:","165"
"190:","167"
"195:","166"
"200:","167"
"205:","168"
"210:","162"
"215:","165"
"220:","167"
"225:","160"
"230:","167"
"235:","194"
"240:","241"
