"xseconds,"rate"
"5:","176"
"10:","107"
"15:","101"
"20:","113"
"25:","111"
"30:","108"
"35:","110"
"40:","115"
"45:","111"
"50:","113"
"55:","114"
"60:","115"
"65:","115"
"70:","111"
"75:","115"
"80:","113"
"85:","115"
"90:","115"
"95:","114"
"100:","108"
"105:","107"
"110:","115"
"115:","115"
"120:","111"
"125:","115"
"130:","101"
"135:","115"
"140:","111"
"145:","114"
"150:","103"
"155:","101"
"160:","114"
"165:","115"
"170:","101"
"175:","114"
"180:","115"
"185:","115"
"190:","116"
"195:","112"
"200:","114"
"205:","111"
"210:","115"
"215:","116"
"220:","116"
"225:","116"
"230:","116"
"235:","116"
"240:","131"
