"xseconds,"rate"
"5:","119"
"10:","106"
"15:","114"
"20:","115"
"25:","114"
"30:","115"
"35:","113"
"40:","110"
"45:","109"
"50:","114"
"55:","115"
"60:","115"
"65:","115"
"70:","114"
"75:","115"
"80:","110"
"85:","114"
"90:","114"
"95:","115"
"100:","110"
"105:","115"
"110:","115"
"115:","115"
"120:","111"
"125:","115"
"130:","111"
"135:","108"
"140:","115"
"145:","115"
"150:","115"
"155:","113"
"160:","110"
"165:","115"
"170:","114"
"175:","115"
"180:","114"
"185:","97"
"190:","105"
"195:","115"
"200:","115"
"205:","105"
"210:","103"
"215:","115"
"220:","109"
"225:","110"
"230:","112"
"235:","112"
"240:","194"
