"xseconds,"rate"
"5:","419"
"10:","341"
"15:","333"
"20:","330"
"25:","333"
"30:","376"
"35:","376"
"40:","377"
"45:","364"
"50:","367"
"55:","376"
"60:","377"
"65:","340"
"70:","324"
"75:","333"
"80:","340"
"85:","331"
"90:","341"
"95:","331"
"100:","330"
"105:","342"
"110:","342"
"115:","331"
"120:","330"
"125:","340"
"130:","326"
"135:","342"
"140:","333"
"145:","336"
"150:","339"
"155:","335"
"160:","336"
"165:","331"
"170:","342"
"175:","345"
"180:","343"
"185:","331"
"190:","331"
"195:","343"
"200:","339"
"205:","330"
"210:","333"
"215:","337"
"220:","339"
"225:","346"
"230:","341"
"235:","342"
"240:","343"
