"xseconds,"rate"
"5:","399"
"10:","335"
"15:","331"
"20:","341"
"25:","376"
"30:","381"
"35:","386"
"40:","356"
"45:","378"
"50:","351"
"55:","350"
"60:","342"
"65:","333"
"70:","337"
"75:","339"
"80:","335"
"85:","344"
"90:","342"
"95:","343"
"100:","344"
"105:","340"
"110:","339"
"115:","337"
"120:","341"
"125:","333"
"130:","341"
"135:","345"
"140:","342"
"145:","345"
"150:","334"
"155:","343"
"160:","341"
"165:","343"
"170:","342"
"175:","345"
"180:","334"
"185:","336"
"190:","346"
"195:","343"
"200:","339"
"205:","338"
"210:","344"
"215:","341"
"220:","343"
"225:","345"
"230:","340"
"235:","360"
"240:","442"
