"xseconds,"rate"
"5:","138"
"10:","145"
"15:","142"
"20:","116"
"25:","134"
"30:","132"
"35:","124"
"40:","146"
"45:","146"
"50:","129"
"55:","136"
"60:","101"
"65:","97"
"70:","207"
"75:","204"
"80:","204"
"85:","197"
"90:","208"
"95:","186"
"100:","194"
"105:","196"
"110:","196"
"115:","201"
"120:","188"
"125:","208"
"130:","204"
"135:","208"
"140:","188"
"145:","210"
"150:","216"
"155:","218"
"160:","198"
"165:","195"
"170:","206"
"175:","199"
"180:","207"
"185:","202"
"190:","202"
"195:","204"
"200:","198"
"205:","200"
"210:","193"
"215:","197"
"220:","204"
"225:","257"
"230:","268"
"235:","270"
"240:","269"
