"xseconds,"rate"
"5:","711"
"10:","492"
"15:","392"
"20:","382"
"25:","298"
"30:","381"
"35:","382"
"40:","377"
"45:","387"
"50:","390"
"55:","390"
"60:","378"
"65:","384"
"70:","387"
"75:","395"
"80:","383"
"85:","385"
"90:","387"
"95:","384"
"100:","397"
"105:","386"
"110:","372"
"115:","356"
"120:","388"
"125:","393"
"130:","381"
"135:","385"
"140:","360"
"145:","388"
"150:","393"
"155:","387"
"160:","383"
"165:","392"
"170:","381"
"175:","382"
"180:","387"
"185:","396"
"190:","381"
"195:","381"
"200:","384"
"205:","395"
"210:","376"
"215:","383"
"220:","380"
"225:","391"
"230:","383"
"235:","405"
"240:","511"
