"xseconds,"rate"
"5:","311"
"10:","315"
"15:","317"
"20:","308"
"25:","299"
"30:","288"
"35:","309"
"40:","309"
"45:","306"
"50:","268"
"55:","309"
"60:","311"
"65:","318"
"70:","310"
"75:","313"
"80:","320"
"85:","318"
"90:","305"
"95:","298"
"100:","312"
"105:","311"
"110:","309"
"115:","315"
"120:","307"
"125:","311"
"130:","303"
"135:","309"
"140:","312"
"145:","314"
"150:","308"
"155:","305"
"160:","273"
"165:","308"
"170:","267"
"175:","246"
"180:","309"
"185:","316"
"190:","309"
"195:","303"
"200:","300"
"205:","306"
"210:","304"
"215:","311"
"220:","310"
"225:","379"
"230:","474"
"235:","668"
"240:","746"
