"xseconds,"rate"
"5:","303"
"10:","298"
"15:","305"
"20:","297"
"25:","288"
"30:","304"
"35:","296"
"40:","300"
"45:","304"
"50:","304"
"55:","298"
"60:","310"
"65:","305"
"70:","304"
"75:","297"
"80:","302"
"85:","296"
"90:","301"
"95:","303"
"100:","300"
"105:","300"
"110:","302"
"115:","304"
"120:","300"
"125:","302"
"130:","296"
"135:","301"
"140:","297"
"145:","299"
"150:","297"
"155:","300"
"160:","301"
"165:","299"
"170:","299"
"175:","296"
"180:","308"
"185:","302"
"190:","296"
"195:","300"
"200:","299"
"205:","295"
"210:","302"
"215:","294"
"220:","303"
"225:","295"
"230:","292"
"235:","299"
"240:","702"
