"xseconds,"rate"
"5:","183"
"10:","183"
"15:","181"
"20:","180"
"25:","184"
"30:","181"
"35:","180"
"40:","179"
"45:","178"
"50:","181"
"55:","180"
"60:","183"
"65:","176"
"70:","181"
"75:","183"
"80:","181"
"85:","182"
"90:","180"
"95:","182"
"100:","183"
"105:","177"
"110:","168"
"115:","182"
"120:","178"
"125:","183"
"130:","182"
"135:","181"
"140:","182"
"145:","181"
"150:","181"
"155:","183"
"160:","184"
"165:","179"
"170:","180"
"175:","183"
"180:","179"
"185:","182"
"190:","187"
"195:","179"
"200:","183"
"205:","181"
"210:","185"
"215:","184"
"220:","186"
"225:","182"
"230:","186"
"235:","185"
"240:","185"
"245:","181"
"250:","183"
"255:","183"
"260:","185"
"265:","183"
"270:","185"
"275:","183"
"280:","182"
"285:","174"
"290:","181"
"295:","185"
"300:","178"
"305:","186"
"310:","182"
"315:","181"
"320:","182"
"325:","179"
"330:","180"
"335:","179"
"340:","182"
"345:","173"
"350:","179"
"355:","185"
"360:","185"
"365:","179"
"370:","182"
"375:","176"
"380:","183"
"385:","176"
"390:","179"
"395:","181"
"400:","180"
"405:","183"
"410:","182"
"415:","181"
"420:","187"
"425:","186"
"430:","183"
"435:","178"
"440:","184"
"445:","185"
"450:","181"
"455:","183"
"460:","184"
"465:","172"
"470:","179"
"475:","180"
"480:","219"
