"xseconds,"rate"
"5:","252"
"10:","99"
"15:","103"
"20:","87"
"25:","67"
"30:","72"
"35:","61"
"40:","67"
"45:","62"
"50:","70"
"55:","69"
"60:","73"
"65:","71"
"70:","69"
"75:","88"
"80:","180"
"85:","186"
"90:","172"
"95:","166"
"100:","163"
"105:","166"
"110:","167"
"115:","166"
"120:","160"
"125:","168"
"130:","167"
"135:","159"
"140:","163"
"145:","165"
"150:","163"
"155:","169"
"160:","161"
"165:","165"
"170:","163"
"175:","169"
"180:","157"
"185:","167"
"190:","163"
"195:","166"
"200:","167"
"205:","169"
"210:","168"
"215:","168"
"220:","167"
"225:","160"
"230:","169"
"235:","161"
"240:","168"
"245:","169"
"250:","169"
"255:","167"
"260:","171"
"265:","169"
"270:","165"
"275:","167"
"280:","165"
"285:","163"
"290:","164"
"295:","167"
"300:","161"
"305:","165"
"310:","164"
"315:","166"
"320:","171"
"325:","162"
"330:","167"
"335:","168"
"340:","165"
"345:","169"
"350:","167"
"355:","166"
"360:","162"
"365:","167"
"370:","172"
"375:","160"
"380:","169"
"385:","169"
"390:","165"
"395:","171"
"400:","166"
"405:","171"
"410:","169"
"415:","167"
"420:","170"
"425:","171"
"430:","169"
"435:","170"
"440:","170"
"445:","170"
"450:","166"
"455:","168"
"460:","172"
"465:","162"
"470:","161"
"475:","170"
"480:","170"
