"xseconds,"rate"
"5:","137"
"10:","150"
"15:","132"
"20:","144"
"25:","135"
"30:","137"
"35:","141"
"40:","153"
"45:","148"
"50:","153"
"55:","140"
"60:","111"
"65:","113"
"70:","229"
"75:","250"
"80:","248"
"85:","254"
"90:","252"
"95:","259"
"100:","249"
"105:","235"
"110:","247"
"115:","237"
"120:","236"
"125:","251"
"130:","252"
"135:","248"
"140:","249"
"145:","242"
"150:","237"
"155:","254"
"160:","255"
"165:","262"
"170:","247"
"175:","250"
"180:","254"
"185:","245"
"190:","261"
"195:","255"
"200:","250"
"205:","243"
"210:","265"
"215:","253"
"220:","255"
"225:","246"
"230:","257"
"235:","253"
"240:","252"
"245:","256"
"250:","251"
"255:","257"
"260:","252"
"265:","249"
"270:","260"
"275:","262"
"280:","254"
"285:","247"
"290:","254"
"295:","248"
"300:","261"
"305:","234"
"310:","254"
"315:","260"
"320:","243"
"325:","253"
"330:","247"
"335:","257"
"340:","249"
"345:","246"
"350:","247"
"355:","257"
"360:","245"
"365:","257"
"370:","253"
"375:","258"
"380:","250"
"385:","249"
"390:","270"
"395:","247"
"400:","262"
"405:","257"
"410:","253"
"415:","261"
"420:","263"
"425:","254"
"430:","258"
"435:","258"
"440:","250"
"445:","245"
"450:","238"
"455:","263"
"460:","253"
"465:","289"
"470:","313"
"475:","313"
"480:","316"
