"xseconds,"rate"
"5:","105"
"10:","90"
"15:","74"
"20:","73"
"25:","75"
"30:","75"
"35:","75"
"40:","75"
"45:","73"
"50:","80"
"55:","204"
"60:","205"
"65:","202"
"70:","201"
"75:","208"
"80:","199"
"85:","172"
"90:","166"
"95:","171"
"100:","169"
"105:","173"
"110:","167"
"115:","171"
"120:","170"
"125:","169"
"130:","167"
"135:","169"
"140:","168"
"145:","171"
"150:","169"
"155:","170"
"160:","172"
"165:","172"
"170:","168"
"175:","170"
"180:","170"
"185:","172"
"190:","170"
"195:","172"
"200:","166"
"205:","167"
"210:","171"
"215:","167"
"220:","168"
"225:","170"
"230:","171"
"235:","172"
"240:","172"
