"xseconds,"rate"
"5:","174"
"10:","151"
"15:","150"
"20:","154"
"25:","153"
"30:","153"
"35:","149"
"40:","153"
"45:","126"
"50:","107"
"55:","108"
"60:","109"
"65:","106"
"70:","109"
"75:","194"
"80:","243"
"85:","252"
"90:","255"
"95:","256"
"100:","252"
"105:","253"
"110:","245"
"115:","256"
"120:","233"
"125:","250"
"130:","257"
"135:","234"
"140:","255"
"145:","250"
"150:","253"
"155:","245"
"160:","252"
"165:","255"
"170:","253"
"175:","253"
"180:","254"
"185:","245"
"190:","253"
"195:","222"
"200:","256"
"205:","253"
"210:","256"
"215:","257"
"220:","254"
"225:","258"
"230:","250"
"235:","270"
"240:","310"
