"xseconds,"rate"
"5:","263"
"10:","140"
"15:","141"
"20:","141"
"25:","140"
"30:","140"
"35:","141"
"40:","139"
"45:","140"
"50:","134"
"55:","135"
"60:","139"
"65:","137"
"70:","139"
"75:","141"
"80:","139"
"85:","142"
"90:","139"
"95:","139"
"100:","141"
"105:","139"
"110:","140"
"115:","139"
"120:","141"
"125:","135"
"130:","141"
"135:","139"
"140:","141"
"145:","139"
"150:","140"
"155:","135"
"160:","135"
"165:","141"
"170:","137"
"175:","139"
"180:","142"
"185:","141"
"190:","140"
"195:","140"
"200:","137"
"205:","141"
"210:","140"
"215:","139"
"220:","139"
"225:","142"
"230:","137"
"235:","141"
"240:","172"
