"xseconds,"rate"
"5:","101"
"10:","95"
"15:","95"
"20:","95"
"25:","96"
"30:","92"
"35:","93"
"40:","96"
"45:","95"
"50:","95"
"55:","96"
"60:","95"
"65:","94"
"70:","95"
"75:","95"
"80:","93"
"85:","96"
"90:","92"
"95:","95"
"100:","95"
"105:","95"
"110:","94"
"115:","96"
"120:","94"
"125:","94"
"130:","97"
"135:","95"
"140:","95"
"145:","96"
"150:","92"
"155:","94"
"160:","96"
"165:","96"
"170:","93"
"175:","96"
"180:","94"
"185:","96"
"190:","94"
"195:","95"
"200:","95"
"205:","96"
"210:","93"
"215:","94"
"220:","96"
"225:","95"
"230:","94"
"235:","96"
"240:","142"
