"xseconds,"rate"
"5:","219"
"10:","186"
"15:","181"
"20:","185"
"25:","185"
"30:","186"
"35:","185"
"40:","178"
"45:","175"
"50:","176"
"55:","155"
"60:","155"
"65:","156"
"70:","155"
"75:","155"
"80:","152"
"85:","156"
"90:","163"
"95:","178"
"100:","171"
"105:","165"
"110:","166"
"115:","165"
"120:","166"
"125:","167"
"130:","169"
"135:","166"
"140:","168"
"145:","166"
"150:","161"
"155:","162"
"160:","161"
"165:","165"
"170:","166"
"175:","166"
"180:","166"
"185:","166"
"190:","165"
"195:","166"
"200:","165"
"205:","168"
"210:","170"
"215:","161"
"220:","192"
"225:","240"
"230:","314"
"235:","396"
"240:","487"
