"xseconds,"rate"
"5:","420"
"10:","374"
"15:","305"
"20:","246"
"25:","207"
"30:","202"
"35:","211"
"40:","212"
"45:","211"
"50:","211"
"55:","213"
"60:","192"
"65:","208"
"70:","204"
"75:","176"
"80:","176"
"85:","176"
"90:","176"
"95:","176"
"100:","173"
"105:","175"
"110:","168"
"115:","166"
"120:","165"
"125:","165"
"130:","166"
"135:","165"
"140:","165"
"145:","157"
"150:","165"
"155:","164"
"160:","166"
"165:","166"
"170:","166"
"175:","164"
"180:","162"
"185:","166"
"190:","165"
"195:","165"
"200:","164"
"205:","166"
"210:","165"
"215:","162"
"220:","165"
"225:","165"
"230:","161"
"235:","170"
"240:","193"
