"xseconds,"rate"
"5:","373"
"10:","341"
"15:","327"
"20:","338"
"25:","325"
"30:","337"
"35:","327"
"40:","336"
"45:","354"
"50:","355"
"55:","305"
"60:","256"
"65:","252"
"70:","246"
"75:","255"
"80:","254"
"85:","256"
"90:","256"
"95:","255"
"100:","252"
"105:","255"
"110:","252"
"115:","250"
"120:","254"
"125:","253"
"130:","252"
"135:","254"
"140:","247"
"145:","285"
"150:","317"
"155:","320"
"160:","327"
"165:","317"
"170:","316"
"175:","312"
"180:","291"
"185:","305"
"190:","309"
"195:","296"
"200:","298"
"205:","302"
"210:","301"
"215:","300"
"220:","308"
"225:","298"
"230:","303"
"235:","325"
"240:","410"
