"xseconds,"rate"
"5:","420"
"10:","341"
"15:","333"
"20:","330"
"25:","333"
"30:","376"
"35:","376"
"40:","378"
"45:","364"
"50:","367"
"55:","377"
"60:","377"
"65:","340"
"70:","323"
"75:","334"
"80:","340"
"85:","331"
"90:","341"
"95:","331"
"100:","331"
"105:","343"
"110:","342"
"115:","331"
"120:","330"
"125:","340"
"130:","327"
"135:","342"
"140:","333"
"145:","337"
"150:","339"
"155:","335"
"160:","337"
"165:","331"
"170:","342"
"175:","345"
"180:","343"
"185:","331"
"190:","332"
"195:","343"
"200:","343"
"205:","331"
"210:","333"
"215:","337"
"220:","339"
"225:","347"
"230:","341"
"235:","342"
"240:","343"
