"xseconds,"rate"
"5:","352"
"10:","332"
"15:","355"
"20:","358"
"25:","358"
"30:","357"
"35:","353"
"40:","357"
"45:","354"
"50:","354"
"55:","341"
"60:","265"
"65:","265"
"70:","264"
"75:","272"
"80:","274"
"85:","272"
"90:","273"
"95:","260"
"100:","262"
"105:","265"
"110:","266"
"115:","264"
"120:","263"
"125:","267"
"130:","259"
"135:","261"
"140:","277"
"145:","289"
"150:","353"
"155:","345"
"160:","355"
"165:","351"
"170:","348"
"175:","344"
"180:","344"
"185:","345"
"190:","343"
"195:","346"
"200:","349"
"205:","348"
"210:","345"
"215:","350"
"220:","358"
"225:","356"
"230:","358"
"235:","381"
"240:","464"
