"xseconds,"rate"
"5:","140"
"10:","145"
"15:","142"
"20:","116"
"25:","134"
"30:","133"
"35:","124"
"40:","146"
"45:","146"
"50:","129"
"55:","136"
"60:","101"
"65:","97"
"70:","206"
"75:","204"
"80:","205"
"85:","198"
"90:","208"
"95:","186"
"100:","194"
"105:","195"
"110:","196"
"115:","201"
"120:","187"
"125:","207"
"130:","204"
"135:","208"
"140:","187"
"145:","210"
"150:","216"
"155:","217"
"160:","198"
"165:","195"
"170:","206"
"175:","200"
"180:","207"
"185:","201"
"190:","202"
"195:","204"
"200:","198"
"205:","200"
"210:","192"
"215:","197"
"220:","204"
"225:","256"
"230:","268"
"235:","270"
"240:","268"
