"xseconds,"rate"
"5:","106"
"10:","102"
"15:","105"
"20:","103"
"25:","101"
"30:","105"
"35:","100"
"40:","104"
"45:","104"
"50:","101"
"55:","107"
"60:","94"
"65:","93"
"70:","105"
"75:","86"
"80:","107"
"85:","106"
"90:","108"
"95:","108"
"100:","106"
"105:","107"
"110:","107"
"115:","99"
"120:","105"
"125:","96"
"130:","109"
"135:","108"
"140:","108"
"145:","108"
"150:","108"
"155:","108"
"160:","107"
"165:","106"
"170:","108"
"175:","108"
"180:","102"
"185:","109"
"190:","109"
"195:","108"
"200:","108"
"205:","108"
"210:","108"
"215:","108"
"220:","103"
"225:","104"
"230:","107"
"235:","133"
"240:","387"
