"xseconds,"rate"
"5:","455"
"10:","330"
"15:","279"
"20:","255"
"25:","204"
"30:","156"
"35:","178"
"40:","178"
"45:","178"
"50:","178"
"55:","176"
"60:","178"
"65:","178"
"70:","177"
"75:","156"
"80:","137"
"85:","127"
"90:","130"
"95:","133"
"100:","141"
"105:","141"
"110:","146"
"115:","146"
"120:","143"
"125:","144"
"130:","147"
"135:","146"
"140:","144"
"145:","145"
"150:","144"
"155:","148"
"160:","147"
"165:","149"
"170:","146"
"175:","145"
"180:","145"
"185:","146"
"190:","147"
"195:","147"
"200:","148"
"205:","147"
"210:","146"
"215:","147"
"220:","145"
"225:","147"
"230:","146"
"235:","144"
"240:","147"
