"xseconds,"rate"
"5:","184"
"10:","184"
"15:","182"
"20:","183"
"25:","185"
"30:","177"
"35:","180"
"40:","185"
"45:","185"
"50:","160"
"55:","147"
"60:","147"
"65:","148"
"70:","146"
"75:","147"
"80:","144"
"85:","148"
"90:","148"
"95:","136"
"100:","142"
"105:","119"
"110:","141"
"115:","139"
"120:","146"
"125:","147"
"130:","147"
"135:","140"
"140:","124"
"145:","144"
"150:","129"
"155:","144"
"160:","146"
"165:","142"
"170:","133"
"175:","137"
"180:","132"
"185:","132"
"190:","142"
"195:","131"
"200:","145"
"205:","146"
"210:","139"
"215:","139"
"220:","168"
"225:","220"
"230:","272"
"235:","298"
"240:","389"
