"xseconds,"rate"
"5:","399"
"10:","270"
"15:","230"
"20:","191"
"25:","184"
"30:","182"
"35:","183"
"40:","186"
"45:","183"
"50:","174"
"55:","185"
"60:","185"
"65:","194"
"70:","208"
"75:","207"
"80:","207"
"85:","208"
"90:","205"
"95:","203"
"100:","207"
"105:","207"
"110:","203"
"115:","200"
"120:","170"
"125:","191"
"130:","194"
"135:","208"
"140:","206"
"145:","206"
"150:","200"
"155:","188"
"160:","195"
"165:","192"
"170:","194"
"175:","207"
"180:","201"
"185:","198"
"190:","189"
"195:","185"
"200:","194"
"205:","194"
"210:","193"
"215:","196"
"220:","204"
"225:","194"
"230:","192"
"235:","227"
"240:","290"
